Matrix,FD1,FD2,G3,G4,G5,G6,G7,G8,G9,G10,G11,G12,G13,G14,G15,G16,G17,G18,G19,G20,G21,G22,G23,G24,G25,G26,G27
FD1,0,2.4,4.4,7.4,8.6,10.1,12.1,15.1,18.1,21.1,24.1,27.1,30.1,33.1,36.1,39.1,42.1,46.1,49.1,52.1,55.1,58.1,61.1,64.1,67.1,70.1,73.1
FD2,2.4,0,2,5.0,6.2,7.7,9.7,12.7,15.7,18.7,21.7,24.7,27.7,30.7,33.7,36.7,39.7,43.7,46.7,49.7,52.7,55.7,58.7,61.7,64.7,67.7,70.7
G3,4.4,2,0,3,4.2,5.7,7.7,10.7,13.7,16.7,19.7,22.7,25.7,28.7,31.7,34.7,37.7,41.7,44.7,47.7,50.7,53.7,56.7,59.7,62.7,65.7,68.7
G4,7.4,5.0,3,0,1.2,2.7,4.7,7.7,10.7,13.7,16.7,19.7,22.7,25.7,28.7,31.7,34.7,38.7,41.7,44.7,47.7,50.7,53.7,56.7,59.7,62.7,65.7
G5,8.6,6.2,4.2,1.2,0,1.5,3.5,6.5,9.5,12.5,15.5,18.5,21.5,24.5,27.5,30.5,33.5,37.5,40.5,43.5,46.5,49.5,52.5,55.5,58.5,61.5,64.5
G6,10.1,7.7,5.7,2.7,1.5,0,2,5.0,8.0,11.0,14.0,17.0,20.0,23.0,26.0,29.0,32.0,36.0,39.0,42.0,45.0,48.0,51.0,54.0,57.0,60.0,63.0
G7,12.1,9.7,7.7,4.7,3.5,2,0,3,6.0,9.0,12.0,15.0,18.0,21.0,24.0,27.0,30.0,34.0,37.0,40.0,43.0,46.0,49.0,52.0,55.0,58.0,61.0
G8,15.1,12.7,10.7,7.7,6.5,5.0,3,0,3,6.0,9.0,12.0,15.0,18.0,21.0,24.0,27.0,31.0,34.0,37.0,40.0,43.0,46.0,49.0,52.0,55.0,58.0
G9,18.1,15.7,13.7,10.7,9.5,8.0,6.0,3,0,3,6.0,9.0,12.0,15.0,18.0,21.0,24.0,28.0,31.0,34.0,37.0,40.0,43.0,46.0,49.0,52.0,55.0
G10,21.1,18.7,16.7,13.7,12.5,11.0,9.0,6.0,3,0,3,6.0,9.0,12.0,15.0,18.0,21.0,25.0,28.0,31.0,34.0,37.0,40.0,43.0,46.0,49.0,52.0
