Matrix	FD1	FD2	G3	G4	G5	G6	G7	G8	G9	G10	G11	G12	G13	G14	G15	G16	G17	G18	G19	G20	G21	G22	G23	G24	G25	G26	G27
FD1	0	2.4	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X
FD2	2.4	0	2	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X
G3	X	2	0	3	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X
G4	X	X	3	0	1.2	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X
G5	X	X	X	1.2	0	1.5	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X
G6	X	X	X	X	1.5	0	2	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X
G7	X	X	X	X	X	2	0	3	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X
G8	X	X	X	X	X	X	3	0	3	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X
G9	X	X	X	X	X	X	X	3	0	3	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X
G10	X	X	X	X	X	X	X	X	3	0	3	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X
G11	X	X	X	X	X	X	X	X	X	3	0	3	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X
G12	X	X	X	X	X	X	X	X	X	X	3	0	3	X	X	X	X	X	X	X	X	X	X	X	X	X	X
G13	X	X	X	X	X	X	X	X	X	X	X	3	0	3	X	X	X	X	X	X	X	X	X	X	X	X	X
G14	X	X	X	X	X	X	X	X	X	X	X	X	3	0	3	X	X	X	X	X	X	X	X	X	X	X	X
G15	X	X	X	X	X	X	X	X	X	X	X	X	X	3	0	3	X	X	X	X	X	X	X	X	X	X	X
G16	X	X	X	X	X	X	X	X	X	X	X	X	X	X	3	0	3	X	X	X	X	X	X	X	X	X	X
G17	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	3	0	4	X	X	X	X	X	X	X	X	X
G18	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	4	0	3	X	X	X	X	X	X	X	X
G19	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	3	0	3	X	X	X	X	X	X	X
G20	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	3	0	3	X	X	X	X	X	X
G21	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	3	0	3	X	X	X	X	X
G22	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	3	0	3	X	X	X	X
G23	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	3	0	3	X	X	X
G24	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	3	0	3	X	X
G25	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	3	0	3	X
G26	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	3	0	3
G27	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	3	0
